10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
276.06%;-58.12%;18.39%;0.064;{'roe': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
275.87%;-58.31%;18.38%;-0.375;{'roe': 0.4, 'dividend_yield': 0.6}
275.60%;-58.57%;24.40%;-0.677;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
275.58%;-58.60%;18.87%;-1.055;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
275.49%;-58.68%;20.42%;-0.175;{'roe': 0.8, 'roic_wacc': 0.2}
275.23%;-58.94%;20.32%;-0.568;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
275.11%;-59.06%;27.07%;-0.686;{'roe': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
274.90%;-59.28%;25.96%;-1.926;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
274.70%;-59.48%;18.07%;-0.729;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.5}
274.42%;-59.76%;21.08%;-1.716;{'roe': 0.5, 'fcfy': 0.4, 'revenue_growth': 0.1}
274.35%;-59.82%;18.15%;0.234;{'fcfy': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.2}
274.29%;-59.89%;19.88%;-1.23;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
274.01%;-60.16%;30.55%;-0.495;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
273.76%;-60.42%;22.49%;-1.732;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
273.47%;-60.71%;30.94%;-0.536;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
273.40%;-60.78%;24.92%;-1.507;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
273.38%;-60.79%;22.91%;-1;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
273.19%;-60.98%;18.67%;0.382;{'roe': 0.9, 'fcfy': 0.1}
273.17%;-61.00%;19.21%;-0.856;{'roe': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
273.03%;-61.14%;22.27%;-0.633;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
272.90%;-61.27%;20.78%;-0.131;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
272.72%;-61.46%;22.85%;-0.314;{'roe': 0.2, 'fcfy': 0.5, 'dividend_yield': 0.3}
272.57%;-61.61%;21.91%;-1.471;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
272.49%;-61.69%;18.76%;-1.125;{'roe': 0.4, 'fcfy': 0.2, 'dividend_yield': 0.4}
272.48%;-61.70%;23.97%;-0.435;{'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
272.42%;-61.76%;21.95%;-0.213;{'roe': 0.8, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
272.41%;-61.77%;19.46%;-0.167;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
272.38%;-61.80%;26.34%;-1.704;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.3}
272.35%;-61.82%;18.63%;-0.645;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
272.35%;-61.83%;18.79%;0.374;{'roe': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
272.31%;-61.87%;19.93%;0.065;{'roe': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.6}
272.28%;-61.90%;19.50%;-0.28;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.6}
272.24%;-61.94%;23.59%;-2.028;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
271.82%;-62.35%;19.80%;-0.309;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
271.81%;-62.36%;23.22%;-0.036;{'fcfy': 0.3, 'dividend_yield': 0.7}
271.76%;-62.42%;21.97%;-1.123;{'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
271.68%;-62.50%;21.47%;-0.3;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
271.62%;-62.56%;25.06%;-1.436;{'roe': 0.2, 'fcfy': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
271.35%;-62.82%;23.68%;-1.161;{'roe': 0.2, 'fcfy': 0.6, 'dividend_yield': 0.2}
271.18%;-63.00%;33.26%;-0.335;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
270.95%;-63.23%;20.83%;-0.969;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
270.84%;-63.34%;27.05%;-0.682;{'roe': 0.6, 'revenue_growth': 0.4}
270.42%;-63.76%;20.19%;-1.012;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
270.27%;-63.91%;19.97%;-0.892;{'roe': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
270.17%;-64.01%;19.29%;-0.375;{'roe': 0.6, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
270.17%;-64.01%;21.60%;0.206;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
270.03%;-64.15%;23.00%;-0.113;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
270.02%;-64.15%;20.90%;-1.257;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
270.01%;-64.17%;25.89%;-0.269;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
269.97%;-64.20%;23.20%;-0.348;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
269.85%;-64.32%;18.20%;-0.595;{'roic_wacc': 0.6, 'dividend_yield': 0.4}
269.53%;-64.65%;20.61%;-0.273;{'roe': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
269.52%;-64.66%;18.36%;-0.636;{'roe': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
269.49%;-64.69%;27.37%;-0.73;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
269.43%;-64.74%;28.15%;-0.276;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
269.42%;-64.76%;27.96%;-0.911;{'roe': 0.5, 'fcfy': 0.2, 'revenue_growth': 0.3}
269.32%;-64.86%;23.43%;-0.219;{'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.6}
269.10%;-65.07%;22.29%;-0.039;{'roe': 0.9, 'revenue_growth': 0.1}
269.09%;-65.09%;20.57%;-0.439;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
268.96%;-65.22%;22.84%;-0.791;{'roe': 0.7, 'fcfy': 0.1, 'revenue_growth': 0.2}
268.86%;-65.32%;26.55%;-0.752;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
268.72%;-65.46%;18.43%;-0.36;{'fcfy': 0.3, 'roic_wacc': 0.7}
268.65%;-65.53%;20.63%;-0.307;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
268.62%;-65.56%;25.87%;-0.374;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
268.55%;-65.63%;19.31%;-0.998;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
268.52%;-65.65%;22.06%;0.347;{'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
268.51%;-65.67%;24.49%;-0.913;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
268.45%;-65.73%;26.58%;-0.545;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
268.17%;-66.00%;18.96%;-1.59;{'roe': 0.5, 'fcfy': 0.1, 'dividend_yield': 0.4}
268.15%;-66.02%;22.90%;-0.796;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
268.15%;-66.03%;19.54%;-0.983;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
268.05%;-66.13%;21.23%;-0.556;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
267.99%;-66.18%;26.38%;-0.87;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
267.95%;-66.22%;20.63%;-0.63;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.5}
267.76%;-66.41%;19.57%;-0.961;{'roe': 0.5, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
267.66%;-66.52%;22.08%;-0.643;{'roe': 0.6, 'fcfy': 0.2, 'revenue_growth': 0.2}
267.54%;-66.64%;21.21%;-0.779;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
267.47%;-66.71%;27.15%;-0.643;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
267.38%;-66.80%;25.24%;-0.787;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
267.37%;-66.80%;22.31%;-1.077;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
267.29%;-66.88%;26.40%;-0.556;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
267.19%;-66.99%;19.07%;-0.776;{'roe': 0.4, 'fcfy': 0.1, 'dividend_yield': 0.5}
267.13%;-67.04%;25.24%;-1.781;{'roe': 0.2, 'fcfy': 0.6, 'revenue_growth': 0.2}
266.86%;-67.31%;24.71%;-1.235;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
266.77%;-67.40%;19.69%;-0.453;{'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
266.47%;-67.71%;19.67%;-0.521;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
266.47%;-67.71%;19.07%;-0.624;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
266.44%;-67.73%;19.77%;-0.903;{'roe': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.7}
266.30%;-67.87%;19.94%;-1.004;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
266.24%;-67.94%;21.69%;0.162;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
266.22%;-67.95%;19.60%;-0.969;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
265.92%;-68.25%;21.11%;-0.249;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
265.90%;-68.27%;19.52%;-0.663;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
265.49%;-68.69%;24.57%;-1.084;{'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
265.33%;-68.85%;19.91%;-1.546;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
265.26%;-68.91%;18.84%;-0.396;{'roe': 0.6, 'fcfy': 0.3, 'roic_wacc': 0.1}
265.02%;-69.16%;17.40%;-0.721;{'roe': 0.5, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
264.87%;-69.31%;27.76%;-0.748;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
264.75%;-69.42%;17.43%;-0.692;{'roe': 0.8, 'fcfy': 0.2}
264.52%;-69.66%;19.31%;-0.107;{'roic_wacc': 0.3, 'dividend_yield': 0.7}
264.50%;-69.68%;23.17%;-0.534;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
263.89%;-70.28%;24.55%;-0.477;{'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
263.68%;-70.49%;23.07%;-0.315;{'roe': 0.5, 'fcfy': 0.3, 'revenue_growth': 0.2}
263.67%;-70.51%;20.89%;-1.262;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.2}
263.64%;-70.54%;19.79%;-0.57;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
263.57%;-70.61%;24.62%;-1.095;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.3}
263.51%;-70.67%;21.67%;-0.382;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
263.47%;-70.71%;23.69%;-0.68;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
263.43%;-70.74%;24.45%;-0.068;{'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
263.36%;-70.82%;28.66%;-0.847;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
263.31%;-70.87%;26.26%;-1.208;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
263.09%;-71.09%;19.66%;-0.658;{'roe': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
262.96%;-71.21%;18.18%;-0.186;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
262.83%;-71.34%;24.26%;-0.834;{'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.5}
262.62%;-71.55%;20.47%;0.111;{'roe': 0.3, 'roic_wacc': 0.7}
262.57%;-71.60%;27.99%;-0.777;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
262.53%;-71.65%;22.63%;0.078;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
262.43%;-71.75%;18.46%;-0.801;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
262.32%;-71.85%;19.65%;-0.521;{'roe': 0.3, 'fcfy': 0.1, 'dividend_yield': 0.6}
262.26%;-71.92%;26.58%;-0.958;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
262.10%;-72.07%;19.91%;-0.889;{'roe': 0.3, 'fcfy': 0.2, 'dividend_yield': 0.5}
262.08%;-72.10%;17.57%;-0.437;{'roe': 0.7, 'dividend_yield': 0.3}
262.03%;-72.14%;21.34%;-0.147;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
261.63%;-72.54%;19.43%;-0.389;{'roe': 0.6, 'fcfy': 0.3, 'revenue_growth': 0.1}
261.63%;-72.54%;22.06%;-0.468;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
261.32%;-72.86%;19.73%;-0.898;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
261.26%;-72.92%;23.00%;-1.459;{'roe': 0.4, 'fcfy': 0.6}
261.08%;-73.09%;23.62%;-1.171;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
261.05%;-73.13%;21.11%;-1.637;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
261.00%;-73.18%;30.23%;-0.768;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
260.93%;-73.24%;19.94%;-0.327;{'roe': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
260.92%;-73.26%;20.08%;-0.175;{'roe': 0.7, 'roic_wacc': 0.3}
260.85%;-73.33%;16.42%;0.132;{'roe': 0.8, 'fcfy': 0.1, 'dividend_yield': 0.1}
260.85%;-73.33%;26.25%;-2.103;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
260.84%;-73.34%;18.44%;-0.335;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
260.75%;-73.43%;22.52%;-0.457;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
260.73%;-73.44%;20.83%;-1.471;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
260.54%;-73.64%;21.80%;-1.601;{'fcfy': 0.4, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
260.45%;-73.73%;24.37%;-0.622;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
260.33%;-73.85%;18.98%;-0.665;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
260.30%;-73.87%;24.45%;-0.674;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
260.08%;-74.09%;21.86%;-0.333;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
260.07%;-74.10%;21.64%;-0.41;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
260.00%;-74.17%;28.83%;-0.605;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.6}
259.95%;-74.22%;19.86%;-0.761;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
259.93%;-74.24%;28.83%;-0.55;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
259.86%;-74.32%;22.19%;-0.094;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
259.25%;-74.93%;31.56%;-0.736;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
259.16%;-75.01%;19.80%;-0.877;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
259.05%;-75.13%;18.40%;-1.071;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
258.91%;-75.26%;20.52%;-0.206;{'fcfy': 0.4, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
258.88%;-75.30%;22.51%;-0.617;{'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.8}
258.84%;-75.33%;18.86%;-0.493;{'roe': 0.5, 'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
258.46%;-75.71%;21.62%;-0.41;{'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.6}
258.19%;-75.99%;22.29%;-1.001;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
258.08%;-76.09%;20.12%;-1.318;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
258.06%;-76.12%;21.42%;-0.2;{'roe': 0.4, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
258.04%;-76.14%;18.66%;0.403;{'roic_wacc': 0.9, 'dividend_yield': 0.1}
257.75%;-76.43%;23.70%;-0.631;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
257.48%;-76.69%;18.98%;0.35;{'roe': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.2}
257.45%;-76.72%;21.14%;-0.941;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
257.37%;-76.81%;26.95%;-0.242;{'roic_wacc': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
257.36%;-76.81%;17.63%;-0.238;{'roe': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.3}
257.35%;-76.82%;19.68%;-0.369;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.2}
257.33%;-76.84%;24.57%;-0.812;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
256.83%;-77.34%;25.66%;-1.736;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
256.79%;-77.39%;23.96%;-0.106;{'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
256.77%;-77.40%;18.87%;0.102;{'fcfy': 0.2, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
256.72%;-77.46%;16.91%;-0.748;{'roic_wacc': 0.5, 'dividend_yield': 0.5}
256.69%;-77.48%;19.02%;0.161;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
256.62%;-77.55%;17.88%;-0.8;{'roe': 0.6, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
256.32%;-77.85%;16.06%;-1.171;{'roe': 0.6, 'fcfy': 0.2, 'dividend_yield': 0.2}
256.25%;-77.93%;27.91%;-0.472;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
256.10%;-78.08%;23.14%;-0.934;{'revenue_growth': 0.2, 'dividend_yield': 0.8}
255.97%;-78.20%;24.15%;-0.767;{'fcfy': 0.5, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
255.69%;-78.48%;19.93%;-1.092;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
255.50%;-78.68%;24.34%;-1.314;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
255.46%;-78.71%;23.06%;-0.149;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
255.34%;-78.83%;20.24%;-1.367;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
255.11%;-79.06%;28.20%;-0.779;{'roe': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
255.05%;-79.12%;28.82%;-1.057;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.4}
254.90%;-79.28%;26.75%;-0.82;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
254.73%;-79.45%;23.37%;-0.762;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
254.66%;-79.52%;28.67%;-0.646;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
254.55%;-79.62%;24.21%;-1.294;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
254.53%;-79.65%;21.66%;-0.443;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
254.40%;-79.78%;21.17%;-0.789;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
254.26%;-79.92%;20.94%;-0.844;{'roe': 0.5, 'fcfy': 0.4, 'dividend_yield': 0.1}
254.12%;-80.06%;20.87%;-1.086;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
254.10%;-80.08%;21.42%;-0.13;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
253.98%;-80.20%;19.28%;-0.801;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.4}
253.91%;-80.27%;19.16%;-0.863;{'roe': 0.5, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
253.88%;-80.29%;19.06%;-0.803;{'roe': 0.8, 'fcfy': 0.1, 'revenue_growth': 0.1}
253.86%;-80.32%;22.29%;-0.644;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
253.84%;-80.33%;27.68%;-0.703;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
253.67%;-80.51%;23.15%;-0.604;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
253.61%;-80.57%;26.82%;-0.703;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
253.48%;-80.69%;22.22%;-0.219;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
253.48%;-80.70%;17.84%;-0.678;{'roe': 0.6, 'fcfy': 0.1, 'dividend_yield': 0.3}
253.46%;-80.71%;20.81%;-0.59;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
253.44%;-80.74%;19.93%;-0.8;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.3}
253.41%;-80.77%;19.26%;-0.898;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
253.30%;-80.88%;22.10%;-0.71;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
252.96%;-81.22%;20.16%;-0.46;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
252.95%;-81.22%;19.94%;-0.171;{'roe': 0.5, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
