10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
330.87%;-3.31%;26.38%;-1.001;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
330.75%;-3.43%;22.48%;0.204;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
330.72%;-3.46%;18.82%;-0.133;{'roe': 0.5, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
330.55%;-3.62%;30.92%;-0.131;{'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
330.25%;-3.92%;21.41%;-0.032;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
329.75%;-4.42%;31.66%;-0.367;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
329.45%;-4.73%;22.88%;0.222;{'roic_wacc': 0.5, 'revenue_growth': 0.5}
329.06%;-5.11%;31.15%;-1.163;{'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
328.37%;-5.81%;20.62%;-0.862;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
328.32%;-5.86%;24.37%;-1.2;{'roe': 0.2, 'fcfy': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
328.26%;-5.92%;20.55%;0.605;{'fcfy': 0.1, 'roic_wacc': 0.8, 'revenue_growth': 0.1}
327.92%;-6.26%;22.06%;0.053;{'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
327.03%;-7.15%;28.54%;0.363;{'roic_wacc': 0.3, 'revenue_growth': 0.7}
327.02%;-7.16%;17.46%;-0.207;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
326.84%;-7.33%;20.45%;0.449;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
326.62%;-7.56%;23.47%;-0.472;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
326.43%;-7.74%;24.61%;-0.662;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
326.14%;-8.03%;25.27%;-0.472;{'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
326.04%;-8.14%;24.70%;-1.5;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
325.53%;-8.65%;22.85%;-0.836;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
325.50%;-8.68%;20.36%;-0.023;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.6}
325.43%;-8.75%;19.78%;-0.134;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
325.35%;-8.82%;28.76%;-1.42;{'roe': 0.2, 'fcfy': 0.7, 'roic_wacc': 0.1}
325.31%;-8.86%;18.80%;-0.001;{'roe': 0.7, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
324.86%;-9.32%;33.46%;0.108;{'roic_wacc': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
324.66%;-9.51%;20.87%;0.003;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
324.40%;-9.77%;18.57%;-0.281;{'roe': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
323.94%;-10.24%;22.66%;-0.823;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
323.85%;-10.32%;19.29%;-0.115;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
323.72%;-10.46%;21.01%;-0.11;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
323.56%;-10.61%;20.76%;-0.2;{'roe': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
323.27%;-10.91%;20.61%;-0.137;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
323.04%;-11.14%;19.96%;0.789;{'fcfy': 0.2, 'roic_wacc': 0.8}
