10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
294.28%;154.70%;32.67%;0.944;0.346;{'roic_wacc': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
294.17%;154.60%;34.62%;0.961;0.36;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
294.08%;154.50%;23.38%;0.971;0.241;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
293.91%;154.33%;58.65%;0.993;0.591;{'roe': 0.1, 'fcfy': 0.7, 'dividend_yield': 0.2}
293.05%;153.48%;26.47%;0.927;0.286;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
292.41%;152.83%;9.22%;1.027;0.09;{'fcfy': 0.5, 'revenue_growth': 0.5}
291.55%;151.97%;44.97%;1.015;0.443;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
291.38%;151.81%;8.66%;0.917;0.094;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
291.12%;151.54%;36.52%;1.023;0.357;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
291.09%;151.51%;33.29%;1.017;0.327;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
290.75%;151.18%;4.71%;0.985;0.048;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
290.58%;151.00%;44.82%;0.944;0.475;{'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
290.48%;150.90%;47.51%;0.944;0.504;{'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
290.16%;150.59%;30.82%;0.927;0.333;{'roic_wacc': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
290.03%;150.45%;41.35%;1.053;0.393;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
289.75%;150.18%;49.24%;0.92;0.535;{'roic_wacc': 0.9, 'dividend_yield': 0.1}
289.45%;149.87%;42.09%;0.957;0.44;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.7}
289.40%;149.83%;1.35%;0.925;0.015;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
288.93%;149.36%;35.42%;0.93;0.381;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
288.84%;149.26%;31.70%;1;0.317;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
288.53%;148.96%;-3.14%;0.964;-0.033;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
288.41%;148.83%;53.08%;0.926;0.573;{'fcfy': 0.2, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
288.26%;148.69%;44.16%;0.947;0.466;{'roe': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
288.24%;148.67%;11.74%;0.923;0.127;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
287.67%;148.09%;46.18%;0.968;0.477;{'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
287.20%;147.62%;27.39%;0.975;0.281;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
287.17%;147.59%;27.91%;0.973;0.287;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
286.36%;146.79%;28.98%;0.959;0.302;{'roe': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
286.34%;146.77%;46.98%;0.969;0.485;{'fcfy': 0.4, 'roic_wacc': 0.6}
286.06%;146.49%;32.86%;0.99;0.332;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
285.14%;145.57%;37.86%;0.981;0.386;{'roe': 0.3, 'roic_wacc': 0.7}
284.77%;145.20%;27.25%;0.96;0.284;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
284.66%;145.09%;9.16%;1.011;0.091;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.6}
284.45%;144.88%;11.80%;0.907;0.13;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
284.37%;144.79%;32.85%;1.006;0.327;{'roe': 0.5, 'revenue_growth': 0.5}
284.27%;144.70%;21.36%;0.985;0.217;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
284.05%;144.47%;34.17%;0.976;0.35;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
