10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
238.01%;98.43%;-12.09%;0.832;-0.145;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
237.64%;98.07%;-0.19%;0.833;-0.002;{'roe': 0.2, 'revenue_growth': 0.8}
237.51%;97.94%;33.73%;0.816;0.413;{'roe': 0.5, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
237.50%;97.92%;18.25%;0.796;0.229;{'roe': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
236.97%;97.39%;32.66%;0.841;0.388;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
236.91%;97.34%;-2.90%;0.858;-0.034;{'fcfy': 0.3, 'revenue_growth': 0.7}
236.81%;97.23%;25.43%;0.891;0.285;{'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
236.62%;97.05%;24.55%;0.855;0.287;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
236.57%;96.99%;28.48%;0.785;0.363;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
236.48%;96.91%;-6.41%;0.883;-0.073;{'fcfy': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
236.25%;96.67%;23.78%;0.813;0.293;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
236.19%;96.61%;31.52%;0.834;0.378;{'roe': 0.4, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
236.15%;96.58%;20.63%;0.823;0.251;{'roe': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
235.82%;96.25%;32.00%;0.857;0.374;{'roe': 0.4, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
235.59%;96.02%;25.25%;0.901;0.28;{'roe': 0.5, 'fcfy': 0.3, 'revenue_growth': 0.2}
235.55%;95.98%;17.58%;0.815;0.216;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
235.48%;95.90%;21.76%;0.853;0.255;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
235.38%;95.80%;16.83%;0.821;0.205;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
234.96%;95.38%;22.48%;0.838;0.268;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
234.90%;95.32%;33.15%;0.845;0.392;{'fcfy': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
234.87%;95.29%;19.49%;0.844;0.231;{'roe': 0.4, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
234.70%;95.12%;-10.05%;0.849;-0.118;{'fcfy': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
234.56%;94.98%;22.86%;0.799;0.286;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
234.45%;94.88%;21.26%;0.875;0.243;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
234.41%;94.84%;29.11%;0.82;0.355;{'fcfy': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
234.21%;94.64%;27.60%;0.77;0.358;{'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
234.16%;94.59%;14.95%;0.804;0.186;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
234.01%;94.44%;18.32%;0.849;0.216;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
233.97%;94.39%;32.51%;0.822;0.396;{'roe': 0.5, 'dividend_yield': 0.5}
233.89%;94.32%;19.10%;0.877;0.218;{'roe': 0.6, 'revenue_growth': 0.4}
233.77%;94.19%;24.94%;0.795;0.314;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
233.71%;94.13%;32.82%;0.79;0.416;{'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
233.61%;94.03%;34.88%;0.87;0.401;{'roe': 0.2, 'fcfy': 0.6, 'dividend_yield': 0.2}
233.31%;93.73%;23.79%;0.865;0.275;{'roe': 0.7, 'fcfy': 0.2, 'revenue_growth': 0.1}
233.15%;93.57%;20.45%;0.86;0.238;{'roe': 0.5, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
233.12%;93.55%;32.82%;0.881;0.373;{'roe': 0.3, 'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
232.99%;93.41%;37.72%;0.766;0.492;{'roe': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.6}
232.76%;93.19%;18.06%;0.857;0.211;{'revenue_growth': 0.4, 'dividend_yield': 0.6}
232.71%;93.13%;17.14%;0.784;0.219;{'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
232.45%;92.88%;18.49%;0.831;0.222;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.5}
232.43%;92.86%;20.27%;0.812;0.25;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
232.36%;92.79%;27.09%;0.891;0.304;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
232.35%;92.77%;27.61%;0.794;0.348;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
232.28%;92.71%;22.51%;0.843;0.267;{'roe': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
232.24%;92.66%;17.69%;0.825;0.214;{'roe': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
232.16%;92.58%;22.57%;0.815;0.277;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
232.08%;92.50%;26.99%;0.878;0.307;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
231.61%;92.04%;21.20%;0.777;0.273;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
231.60%;92.02%;31.91%;0.777;0.411;{'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
231.50%;91.92%;28.42%;0.803;0.354;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
231.48%;91.91%;-12.31%;0.784;-0.157;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
231.45%;91.88%;21.88%;0.846;0.259;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
231.42%;91.85%;23.04%;0.836;0.276;{'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
231.35%;91.78%;17.07%;0.833;0.205;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
231.28%;91.70%;17.92%;0.841;0.213;{'roe': 0.7, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
231.26%;91.68%;35.13%;0.859;0.409;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
231.14%;91.56%;32.51%;0.936;0.347;{'roe': 0.5, 'fcfy': 0.4, 'revenue_growth': 0.1}
231.14%;91.56%;26.55%;0.825;0.322;{'roe': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.6}
230.97%;91.39%;-12.62%;0.773;-0.163;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
230.94%;91.37%;26.67%;0.876;0.304;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
230.88%;91.31%;22.55%;0.916;0.246;{'roe': 0.1, 'fcfy': 0.8, 'revenue_growth': 0.1}
230.86%;91.28%;24.96%;0.881;0.283;{'roe': 0.6, 'fcfy': 0.3, 'revenue_growth': 0.1}
230.83%;91.26%;23.18%;0.791;0.293;{'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
230.82%;91.25%;-6.11%;0.806;-0.076;{'roic_wacc': 0.1, 'revenue_growth': 0.9}
230.73%;91.15%;38.86%;0.815;0.477;{'roe': 0.1, 'fcfy': 0.5, 'dividend_yield': 0.4}
230.72%;91.14%;-11.31%;0.812;-0.139;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
230.60%;91.02%;2.62%;0.841;0.031;{'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
230.33%;90.76%;30.19%;0.776;0.389;{'roic_wacc': 0.7, 'dividend_yield': 0.3}
230.30%;90.73%;27.37%;0.812;0.337;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
230.14%;90.56%;25.74%;0.76;0.339;{'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
230.10%;90.53%;27.88%;0.764;0.365;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
229.95%;90.37%;30.15%;0.886;0.34;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
229.90%;90.33%;28.45%;0.788;0.361;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
229.82%;90.25%;33.01%;0.857;0.385;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
229.81%;90.24%;26.72%;0.86;0.311;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
229.69%;90.11%;25.77%;0.835;0.309;{'roe': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
229.62%;90.04%;-6.77%;0.777;-0.087;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
229.53%;89.95%;29.72%;0.842;0.353;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
229.35%;89.77%;24.00%;0.828;0.29;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
229.33%;89.76%;29.21%;0.767;0.381;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
229.32%;89.75%;22.36%;0.813;0.275;{'roe': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
229.26%;89.69%;19.58%;0.889;0.22;{'roe': 0.5, 'fcfy': 0.2, 'revenue_growth': 0.3}
229.05%;89.48%;14.66%;0.782;0.188;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
228.70%;89.12%;15.66%;0.849;0.185;{'roe': 0.7, 'revenue_growth': 0.3}
228.62%;89.05%;26.60%;0.764;0.348;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
228.61%;89.04%;22.83%;0.881;0.259;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
228.52%;88.95%;-8.82%;0.881;-0.1;{'fcfy': 0.7, 'revenue_growth': 0.3}
228.46%;88.88%;16.51%;0.797;0.207;{'roe': 0.9, 'revenue_growth': 0.1}
228.39%;88.82%;18.41%;0.774;0.238;{'roe': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
228.30%;88.72%;24.71%;0.827;0.299;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
228.10%;88.52%;24.19%;0.854;0.283;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
227.93%;88.35%;31.05%;0.78;0.398;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
227.87%;88.29%;35.28%;0.79;0.446;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
227.82%;88.25%;13.66%;0.784;0.174;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
227.79%;88.21%;33.95%;0.844;0.402;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
227.70%;88.12%;23.51%;0.812;0.29;{'roe': 0.7, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
226.88%;87.31%;24.88%;0.859;0.29;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
226.77%;87.20%;28.48%;0.831;0.343;{'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
226.71%;87.14%;32.50%;0.796;0.408;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
226.01%;86.44%;19.95%;0.83;0.24;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
226.01%;86.43%;18.14%;0.803;0.226;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
225.97%;86.40%;34.96%;0.774;0.452;{'roe': 0.2, 'fcfy': 0.2, 'dividend_yield': 0.6}
225.84%;86.26%;28.74%;0.769;0.373;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
225.67%;86.10%;25.00%;0.776;0.322;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
225.41%;85.83%;13.54%;0.797;0.17;{'roe': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
225.33%;85.75%;17.37%;0.822;0.211;{'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.5}
225.31%;85.74%;31.68%;0.772;0.41;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
225.31%;85.74%;40.04%;0.814;0.492;{'roe': 0.3, 'fcfy': 0.4, 'dividend_yield': 0.3}
225.29%;85.71%;26.83%;0.77;0.349;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
225.15%;85.57%;8.47%;0.75;0.113;{'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
225.06%;85.48%;35.58%;0.814;0.437;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
225.06%;85.48%;19.33%;0.869;0.222;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
225.01%;85.43%;33.47%;0.768;0.436;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
224.90%;85.33%;24.30%;0.831;0.292;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
224.48%;84.91%;-10.54%;0.839;-0.126;{'fcfy': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
224.34%;84.76%;23.27%;0.815;0.285;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
223.86%;84.29%;27.37%;0.758;0.361;{'roe': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
223.67%;84.09%;22.21%;0.824;0.269;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
223.64%;84.07%;25.24%;0.863;0.292;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
223.58%;84.00%;11.65%;0.795;0.147;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
223.42%;83.84%;36.47%;0.765;0.477;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
223.29%;83.72%;32.21%;0.85;0.379;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
223.29%;83.72%;21.24%;0.784;0.271;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
223.11%;83.53%;15.63%;0.79;0.198;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
223.01%;83.43%;15.53%;0.799;0.194;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
222.93%;83.35%;23.66%;0.869;0.272;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
222.92%;83.34%;19.48%;0.775;0.251;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
222.73%;83.16%;11.40%;0.756;0.151;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
222.52%;82.94%;22.70%;0.864;0.263;{'roe': 0.2, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
222.40%;82.82%;14.65%;0.822;0.178;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
222.28%;82.71%;26.81%;0.823;0.326;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
222.21%;82.63%;13.34%;0.84;0.159;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
222.17%;82.59%;20.77%;0.768;0.27;{'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
222.13%;82.55%;27.63%;0.777;0.355;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
222.08%;82.51%;21.29%;0.813;0.262;{'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
222.08%;82.51%;13.28%;0.751;0.177;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
222.03%;82.46%;20.74%;0.763;0.272;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
221.43%;81.86%;17.57%;0.834;0.211;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.3}
220.89%;81.32%;16.73%;0.816;0.205;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.5}
220.88%;81.31%;19.33%;0.833;0.232;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
220.87%;81.29%;25.48%;0.82;0.311;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
220.81%;81.24%;15.78%;0.779;0.202;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
220.72%;81.14%;29.26%;0.768;0.381;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
220.52%;80.94%;29.85%;0.769;0.388;{'roe': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.5}
220.14%;80.56%;11.13%;0.792;0.141;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
220.10%;80.53%;12.99%;0.812;0.16;{'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.5}
220.03%;80.46%;30.60%;0.764;0.4;{'roe': 0.4, 'fcfy': 0.2, 'dividend_yield': 0.4}
219.96%;80.39%;19.05%;0.762;0.25;{'roe': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
219.94%;80.37%;15.11%;0.821;0.184;{'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
219.88%;80.30%;24.83%;0.788;0.315;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
219.86%;80.29%;18.69%;0.794;0.235;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
219.68%;80.11%;32.26%;0.765;0.422;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
219.64%;80.07%;18.78%;0.742;0.253;{'roe': 0.4, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
219.39%;79.82%;23.74%;0.816;0.291;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
219.36%;79.78%;19.97%;0.794;0.252;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
219.30%;79.72%;19.24%;0.807;0.238;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
219.25%;79.67%;20.79%;0.768;0.271;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
219.07%;79.49%;14.56%;0.798;0.182;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
219.00%;79.42%;24.80%;0.758;0.327;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
218.84%;79.26%;23.16%;0.815;0.284;{'roe': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
218.73%;79.16%;29.98%;0.914;0.328;{'roe': 0.4, 'fcfy': 0.5, 'revenue_growth': 0.1}
218.63%;79.06%;14.30%;0.8;0.179;{'roe': 0.8, 'revenue_growth': 0.2}
218.60%;79.02%;34.62%;0.769;0.45;{'roe': 0.3, 'fcfy': 0.3, 'dividend_yield': 0.4}
218.58%;79.00%;10.26%;0.747;0.137;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
218.44%;78.86%;6.81%;0.79;0.086;{'roe': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
218.44%;78.86%;14.35%;0.761;0.189;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
218.30%;78.73%;-7.12%;0.793;-0.09;{'fcfy': 0.2, 'revenue_growth': 0.8}
218.25%;78.68%;-10.21%;0.776;-0.132;{'roe': 0.1, 'revenue_growth': 0.9}
218.11%;78.53%;25.25%;0.738;0.342;{'roe': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.7}
218.02%;78.44%;29.29%;0.868;0.337;{'roe': 0.4, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
217.92%;78.35%;13.79%;0.792;0.174;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
217.89%;78.31%;28.68%;0.743;0.386;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
217.82%;78.25%;-11.63%;0.736;-0.158;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
217.65%;78.08%;23.57%;0.781;0.302;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
217.59%;78.02%;27.68%;0.816;0.339;{'roe': 0.2, 'fcfy': 0.7, 'dividend_yield': 0.1}
217.50%;77.93%;-18.71%;0.724;-0.258;{'roic_wacc': 0.2, 'revenue_growth': 0.8}
217.14%;77.57%;15.92%;0.779;0.204;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
217.03%;77.46%;14.76%;0.775;0.19;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
216.95%;77.37%;23.29%;0.797;0.292;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
216.87%;77.29%;-7.47%;0.833;-0.09;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.3}
216.83%;77.25%;26.61%;0.766;0.347;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
216.70%;77.12%;27.34%;0.761;0.359;{'roe': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
216.46%;76.89%;17.82%;0.77;0.232;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
216.26%;76.69%;21.53%;0.767;0.281;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
216.22%;76.65%;12.65%;0.807;0.157;{'roe': 0.6, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
216.09%;76.52%;19.69%;0.832;0.237;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.3}
215.83%;76.26%;29.15%;0.723;0.403;{'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
215.73%;76.16%;26.46%;0.804;0.329;{'roe': 0.1, 'fcfy': 0.8, 'dividend_yield': 0.1}
215.52%;75.94%;21.12%;0.755;0.28;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
215.44%;75.87%;22.17%;0.738;0.3;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
215.37%;75.79%;22.31%;0.735;0.304;{'roe': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
215.29%;75.71%;22.16%;0.78;0.284;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
215.10%;75.52%;14.01%;0.785;0.178;{'roe': 0.4, 'roic_wacc': 0.6}
214.94%;75.36%;36.08%;0.772;0.467;{'roe': 0.3, 'fcfy': 0.2, 'dividend_yield': 0.5}
214.74%;75.17%;16.37%;0.743;0.22;{'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
214.73%;75.16%;28.36%;0.769;0.369;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
214.65%;75.07%;19.87%;0.817;0.243;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.4}
