10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
250.00%;110.42%;40.01%;0.849;0.471;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
249.93%;110.35%;35.95%;0.893;0.402;{'roe': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
249.90%;110.32%;33.96%;0.855;0.397;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
249.75%;110.17%;39.46%;0.899;0.439;{'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
249.60%;110.02%;33.15%;0.889;0.373;{'roe': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
249.41%;109.84%;22.34%;0.89;0.251;{'roe': 0.7, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
249.39%;109.82%;42.00%;0.827;0.508;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
249.35%;109.77%;21.89%;0.896;0.244;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
249.24%;109.67%;37.41%;0.864;0.433;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
249.22%;109.65%;34.14%;0.832;0.41;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
249.17%;109.60%;18.83%;0.847;0.222;{'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
249.16%;109.59%;38.93%;1.02;0.382;{'roe': 0.3, 'fcfy': 0.6, 'revenue_growth': 0.1}
249.02%;109.45%;32.99%;0.84;0.393;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
248.98%;109.41%;33.85%;0.817;0.414;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
248.90%;109.32%;37.19%;0.974;0.382;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.3}
248.87%;109.29%;24.49%;0.809;0.303;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
248.64%;109.06%;39.27%;0.898;0.437;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
248.28%;108.71%;36.80%;0.913;0.403;{'roe': 0.3, 'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
248.23%;108.65%;5.37%;0.921;0.058;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.5}
247.92%;108.34%;24.09%;0.866;0.278;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
247.90%;108.33%;26.79%;0.855;0.313;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
247.88%;108.31%;25.90%;0.953;0.272;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
247.84%;108.26%;15.26%;0.846;0.18;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
247.70%;108.13%;26.18%;0.858;0.305;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
247.70%;108.12%;16.25%;0.869;0.187;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
246.91%;107.33%;34.63%;0.874;0.396;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
246.89%;107.31%;36.42%;0.87;0.419;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
246.59%;107.02%;32.55%;0.868;0.375;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
246.47%;106.89%;30.95%;0.867;0.357;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
246.32%;106.75%;25.82%;0.917;0.282;{'roe': 0.5, 'fcfy': 0.3, 'revenue_growth': 0.2}
246.23%;106.65%;27.97%;0.923;0.303;{'roe': 0.6, 'fcfy': 0.3, 'revenue_growth': 0.1}
246.14%;106.57%;41.29%;0.904;0.457;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
246.13%;106.56%;23.60%;0.823;0.287;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
246.12%;106.54%;22.88%;0.821;0.279;{'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
246.00%;106.43%;28.88%;0.86;0.336;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
245.91%;106.34%;36.24%;0.863;0.42;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
245.89%;106.31%;34.91%;0.832;0.419;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
245.62%;106.05%;30.33%;0.821;0.37;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
245.60%;106.03%;0.59%;0.905;0.007;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
245.59%;106.02%;36.20%;0.843;0.429;{'roe': 0.4, 'fcfy': 0.1, 'dividend_yield': 0.5}
245.57%;105.99%;34.72%;0.888;0.391;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
245.16%;105.59%;20.10%;0.833;0.241;{'roe': 0.9, 'revenue_growth': 0.1}
245.12%;105.54%;27.76%;0.885;0.314;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
245.01%;105.44%;4.86%;0.869;0.056;{'roe': 0.2, 'revenue_growth': 0.8}
244.87%;105.30%;30.98%;0.866;0.358;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
244.78%;105.20%;25.00%;0.832;0.301;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
244.69%;105.12%;16.11%;0.834;0.193;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
244.63%;105.06%;20.95%;0.81;0.259;{'roe': 0.7, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
244.62%;105.04%;22.23%;0.852;0.261;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
244.33%;104.75%;26.97%;0.876;0.308;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
244.33%;104.75%;32.60%;0.885;0.368;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
244.29%;104.72%;14.77%;0.838;0.176;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.4}
244.28%;104.71%;34.37%;0.828;0.415;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
244.09%;104.51%;17.01%;0.836;0.203;{'roe': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
243.53%;103.96%;1.17%;0.861;0.014;{'fcfy': 0.4, 'revenue_growth': 0.6}
243.44%;103.87%;20.30%;0.906;0.224;{'roe': 0.6, 'fcfy': 0.2, 'revenue_growth': 0.2}
243.40%;103.82%;23.15%;0.85;0.272;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
243.38%;103.80%;28.69%;0.821;0.35;{'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
243.34%;103.76%;31.34%;0.88;0.356;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
243.27%;103.69%;-7.04%;0.802;-0.088;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
243.16%;103.59%;32.99%;0.931;0.354;{'roe': 0.1, 'fcfy': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
243.15%;103.57%;14.78%;0.854;0.173;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
242.96%;103.39%;32.77%;0.808;0.405;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
242.84%;103.26%;21.56%;0.886;0.243;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.4}
242.83%;103.26%;9.89%;0.859;0.115;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
242.75%;103.17%;33.99%;0.82;0.414;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
242.57%;103.00%;29.04%;0.919;0.316;{'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
242.43%;102.85%;9.66%;0.828;0.117;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
242.39%;102.81%;30.89%;0.804;0.384;{'fcfy': 0.2, 'roic_wacc': 0.6, 'dividend_yield': 0.2}
242.34%;102.77%;35.09%;0.797;0.44;{'roe': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
242.31%;102.74%;34.01%;0.855;0.398;{'roe': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.6}
242.07%;102.50%;39.50%;0.783;0.504;{'roe': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.6}
242.06%;102.48%;13.97%;0.859;0.163;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
242.04%;102.47%;33.64%;0.824;0.408;{'roic_wacc': 0.7, 'dividend_yield': 0.3}
241.97%;102.40%;26.66%;0.827;0.322;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
241.95%;102.38%;25.38%;0.827;0.307;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
241.30%;101.72%;32.54%;0.812;0.401;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
241.26%;101.68%;30.57%;0.896;0.341;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
241.01%;101.43%;23.62%;0.794;0.297;{'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
241.00%;101.43%;28.99%;0.908;0.319;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
240.62%;101.04%;17.25%;0.84;0.205;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
240.12%;100.54%;27.93%;0.895;0.312;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
240.07%;100.49%;19.84%;0.835;0.238;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
239.96%;100.38%;38.54%;0.845;0.456;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
239.93%;100.35%;35.08%;0.803;0.437;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
239.84%;100.27%;33.52%;0.815;0.411;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
239.79%;100.22%;35.42%;0.967;0.366;{'roe': 0.5, 'fcfy': 0.4, 'revenue_growth': 0.1}
239.56%;99.98%;26.54%;0.786;0.338;{'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
239.05%;99.47%;0.43%;0.872;0.005;{'fcfy': 0.3, 'revenue_growth': 0.7}
238.89%;99.31%;12.96%;0.81;0.16;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
238.88%;99.31%;30.12%;0.874;0.345;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
238.50%;98.92%;24.43%;0.896;0.273;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
238.50%;98.92%;0.54%;0.856;0.006;{'roic_wacc': 0.1, 'revenue_growth': 0.9}
238.37%;98.79%;24.71%;0.873;0.283;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
238.25%;98.67%;27.25%;0.804;0.339;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
238.15%;98.58%;34.43%;0.839;0.411;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
238.08%;98.51%;25.45%;0.825;0.309;{'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
237.86%;98.29%;33.62%;0.792;0.424;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
237.79%;98.22%;19.84%;0.867;0.229;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
237.51%;97.93%;15.33%;0.851;0.18;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
237.28%;97.71%;23.79%;0.82;0.29;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
237.26%;97.68%;36.40%;0.813;0.448;{'roe': 0.2, 'fcfy': 0.2, 'dividend_yield': 0.6}
237.21%;97.64%;39.28%;0.822;0.478;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
237.04%;97.47%;24.71%;0.823;0.3;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
236.78%;97.20%;21.73%;0.845;0.257;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
236.59%;97.02%;34.30%;0.854;0.401;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
236.44%;96.87%;12.88%;0.79;0.163;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
236.15%;96.58%;24.32%;0.812;0.299;{'roe': 0.8, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
236.14%;96.57%;30.28%;0.787;0.385;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
235.93%;96.35%;21.87%;0.813;0.269;{'roe': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
235.67%;96.10%;23.42%;0.851;0.275;{'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.5}
235.64%;96.07%;22.56%;0.8;0.282;{'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
235.36%;95.78%;29.20%;0.855;0.342;{'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
235.33%;95.75%;13.57%;0.846;0.16;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
235.25%;95.68%;13.41%;0.82;0.164;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
235.20%;95.63%;-8.86%;0.847;-0.105;{'fcfy': 0.3, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
235.20%;95.62%;31.54%;0.833;0.378;{'roe': 0.5, 'dividend_yield': 0.5}
235.07%;95.49%;27.76%;0.853;0.325;{'roe': 0.5, 'fcfy': 0.3, 'dividend_yield': 0.2}
235.05%;95.48%;33.63%;0.877;0.383;{'roe': 0.2, 'fcfy': 0.6, 'dividend_yield': 0.2}
235.04%;95.47%;-8.48%;0.792;-0.107;{'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
234.95%;95.38%;14.26%;0.82;0.174;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
234.95%;95.37%;26.80%;0.77;0.348;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
234.94%;95.37%;24.36%;0.794;0.307;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
234.79%;95.21%;15.70%;0.826;0.19;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
234.67%;95.09%;15.06%;0.792;0.19;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
234.61%;95.03%;10.77%;0.828;0.13;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
234.49%;94.92%;25.40%;0.816;0.311;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
234.11%;94.53%;11.79%;0.8;0.147;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
234.07%;94.50%;33.94%;0.83;0.409;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.4}
234.03%;94.45%;17.42%;0.772;0.226;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
233.96%;94.39%;18.98%;0.85;0.223;{'roe': 0.5, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
233.82%;94.24%;31.38%;0.812;0.386;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
233.71%;94.14%;20.52%;0.863;0.238;{'revenue_growth': 0.4, 'dividend_yield': 0.6}
233.55%;93.98%;33.64%;0.913;0.368;{'roe': 0.4, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
233.43%;93.85%;27.02%;0.84;0.322;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
233.36%;93.79%;-1.14%;0.847;-0.013;{'fcfy': 0.2, 'revenue_growth': 0.8}
233.31%;93.74%;12.57%;0.791;0.159;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
233.26%;93.69%;9.04%;0.888;0.102;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.2}
233.21%;93.63%;40.19%;0.836;0.481;{'roe': 0.1, 'fcfy': 0.5, 'dividend_yield': 0.4}
233.19%;93.62%;27.34%;0.863;0.317;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
233.15%;93.57%;26.84%;0.872;0.308;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
233.04%;93.47%;21.56%;0.828;0.26;{'roe': 0.6, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
232.99%;93.42%;18.43%;0.808;0.228;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
232.81%;93.23%;26.72%;0.857;0.312;{'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
232.40%;92.83%;29.20%;0.837;0.349;{'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.4}
232.38%;92.81%;29.63%;0.793;0.374;{'roe': 0.2, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
232.23%;92.66%;25.64%;0.802;0.32;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
232.19%;92.61%;28.80%;0.795;0.362;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
232.09%;92.51%;30.12%;0.84;0.359;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
231.96%;92.39%;-12.06%;0.825;-0.146;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
231.92%;92.34%;23.45%;0.852;0.275;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
231.76%;92.19%;25.77%;0.797;0.324;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
231.72%;92.14%;17.47%;0.888;0.197;{'roe': 0.5, 'fcfy': 0.2, 'revenue_growth': 0.3}
231.61%;92.04%;19.68%;0.816;0.241;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
231.42%;91.84%;28.16%;0.779;0.361;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
231.31%;91.73%;-4.32%;0.827;-0.052;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
231.29%;91.72%;16.72%;0.82;0.204;{'roe': 0.4, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
231.27%;91.70%;30.41%;0.81;0.376;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
231.21%;91.64%;28.64%;0.784;0.365;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
230.97%;91.40%;40.42%;0.818;0.494;{'roe': 0.3, 'fcfy': 0.4, 'dividend_yield': 0.3}
230.79%;91.22%;13.71%;0.844;0.162;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
230.74%;91.17%;17.73%;0.868;0.204;{'roe': 0.6, 'revenue_growth': 0.4}
230.71%;91.14%;25.07%;0.817;0.307;{'roe': 0.6, 'fcfy': 0.2, 'dividend_yield': 0.2}
230.66%;91.08%;26.16%;0.802;0.326;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
230.65%;91.08%;3.91%;0.829;0.047;{'fcfy': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
230.17%;90.59%;33.36%;0.779;0.428;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
230.05%;90.47%;22.41%;0.84;0.267;{'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
229.93%;90.35%;32.09%;0.757;0.424;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
229.89%;90.32%;27.29%;0.875;0.312;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
229.85%;90.27%;29.05%;0.77;0.377;{'roe': 0.4, 'fcfy': 0.2, 'dividend_yield': 0.4}
229.82%;90.24%;23.85%;0.867;0.275;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
229.70%;90.13%;23.55%;0.783;0.301;{'roe': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.7}
229.58%;90.00%;27.40%;0.769;0.356;{'roe': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
229.57%;90.00%;28.14%;0.81;0.347;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
229.54%;89.97%;26.01%;0.777;0.335;{'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
229.52%;89.95%;14.65%;0.795;0.184;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.5}
229.48%;89.90%;25.17%;0.847;0.297;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
229.41%;89.84%;24.90%;0.808;0.308;{'fcfy': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
229.24%;89.66%;33.98%;0.846;0.402;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
229.21%;89.63%;22.88%;0.776;0.295;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
229.18%;89.61%;17.26%;0.82;0.21;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
229.09%;89.51%;41.70%;0.807;0.517;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
229.04%;89.46%;22.04%;0.764;0.289;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
229.01%;89.44%;-11.51%;0.801;-0.144;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
229.01%;89.43%;29.30%;0.789;0.372;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
228.97%;89.40%;-5.93%;0.89;-0.067;{'fcfy': 0.7, 'revenue_growth': 0.3}
228.93%;89.35%;15.39%;0.844;0.182;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
228.89%;89.31%;18.33%;0.84;0.218;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.3}
228.73%;89.15%;25.41%;0.854;0.298;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
228.67%;89.09%;-10.59%;0.781;-0.136;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
228.58%;89.00%;12.31%;0.797;0.154;{'roe': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
228.50%;88.92%;31.49%;0.756;0.416;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
