10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
311.31%;171.73%;48.66%;1.015;0.479;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
311.29%;171.72%;40.84%;1.069;0.382;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
309.76%;170.19%;65.74%;1.036;0.634;{'roe': 0.1, 'fcfy': 0.7, 'dividend_yield': 0.2}
309.66%;170.08%;27.84%;1.059;0.263;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
309.10%;169.53%;29.40%;1.007;0.292;{'roic_wacc': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
308.93%;169.35%;17.06%;1.065;0.16;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
308.52%;168.95%;48.70%;1.147;0.425;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
308.20%;168.62%;54.68%;0.968;0.565;{'fcfy': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
307.42%;167.84%;14.65%;1.069;0.137;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
307.29%;167.71%;46.21%;0.978;0.473;{'roe': 0.3, 'dividend_yield': 0.7}
307.07%;167.50%;45.28%;0.991;0.457;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.6}
307.05%;167.48%;47.03%;0.971;0.484;{'roe': 0.1, 'roic_wacc': 0.9}
306.75%;167.18%;48.45%;0.959;0.505;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
306.11%;166.53%;41.46%;1.03;0.402;{'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
306.07%;166.50%;17.71%;1.016;0.174;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
305.76%;166.19%;55.81%;1.007;0.554;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
