309.32881557696135 %;{'roe': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.3}
286.5785353929032 %;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
263.2088212223158 %;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
250.3480146230059 %;{'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.6}
324.3471064789334 %;{'fcfy': 0.3, 'dividend_yield': 0.7}
315.03075588113126 %;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
384.2247841180491 %;{'roe': 0.1, 'fcfy': 0.8, 'roic_wacc': 0.1}
283.401402853434 %;{'roe': 0.7, 'dividend_yield': 0.3}
463.56329483081396 %;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
348.4153379731374 %;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
283.9580776690912 %;{'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
426.11506719952274 %;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
405.0422779212533 %;{'roe': 0.7, 'fcfy': 0.2, 'revenue_growth': 0.1}
255.70274452536682 %;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
528.8393014916285 %;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.5}
311.77062042632053 %;{'roe': 0.2, 'fcfy': 0.3, 'dividend_yield': 0.5}
359.73787443131044 %;{'roe': 0.3, 'fcfy': 0.5, 'revenue_growth': 0.2}
308.6468265526122 %;{'roe': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
291.1531486614257 %;{'roe': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
232.47957579832064 %;{'roe': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
327.38340062514783 %;{'fcfy': 0.5, 'roic_wacc': 0.2, 'dividend_yield': 0.3}
299.26254987414615 %;{'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
305.66395880196114 %;{'fcfy': 0.3, 'roic_wacc': 0.1, 'dividend_yield': 0.6}
338.2142369656249 %;{'roe': 0.5, 'fcfy': 0.4, 'dividend_yield': 0.1}
309.51422698028284 %;{'fcfy': 0.4, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
377.0996371889454 %;{'fcfy': 0.4, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
272.9605589422081 %;{'roe': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
331.25326163035317 %;{'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
243.47694553109957 %;{'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
298.33352759707907 %;{'fcfy': 0.9, 'dividend_yield': 0.1}
417.3597793377728 %;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
267.5707519990726 %;{'revenue_growth': 0.1, 'dividend_yield': 0.9}
363.2749410102284 %;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
