10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
351.649 %;212.074 %; 43.350 %;  1.113;  0.390;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
351.227 %;211.652 %; 41.594 %;  1.097;  0.379;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
351.110 %;211.535 %; 41.698 %;  1.104;  0.378;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
350.905 %;211.331 %; 45.525 %;  1.098;  0.415;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
350.559 %;210.984 %; 40.298 %;  1.091;  0.369;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
350.426 %;210.852 %; 53.691 %;  1.200;  0.448;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.7}
349.818 %;210.243 %; 43.174 %;  1.075;  0.401;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
349.777 %;210.203 %; 32.624 %;  1.098;  0.297;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
349.767 %;210.193 %; 41.047 %;  1.062;  0.387;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
348.961 %;209.386 %; 44.274 %;  1.087;  0.407;{'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
348.799 %;209.224 %; 50.904 %;  1.136;  0.448;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
347.565 %;207.991 %; 36.749 %;  1.114;  0.330;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
347.064 %;207.489 %; 45.005 %;  1.118;  0.403;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
346.833 %;207.259 %; 43.293 %;  1.072;  0.404;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
346.791 %;207.216 %; 47.050 %;  1.124;  0.418;{'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
346.760 %;207.185 %; 44.409 %;  1.076;  0.413;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
346.679 %;207.105 %; 39.714 %;  1.090;  0.364;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
346.445 %;206.871 %; 40.192 %;  1.049;  0.383;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
346.363 %;206.789 %; 41.872 %;  1.100;  0.381;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
346.308 %;206.733 %; 41.761 %;  1.096;  0.381;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
346.235 %;206.660 %; 56.363 %;  1.162;  0.485;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
346.064 %;206.489 %; 48.566 %;  1.169;  0.415;{'fcfy': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
345.742 %;206.167 %; 41.233 %;  1.086;  0.380;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
345.510 %;205.935 %; 54.290 %;  1.213;  0.447;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.4}
345.225 %;205.650 %; 39.347 %;  1.069;  0.368;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
344.553 %;204.978 %; 42.094 %;  1.056;  0.399;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
344.306 %;204.732 %; 24.754 %;  1.084;  0.228;{'roe': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
