Bolagsnamn;Info;Info;Info;Info;Info;Info;Info;Kursutveck.;Kursutveck.;Utdelning;Utdelning;P/E;P/S;P/B;EV;Volym;ROE;ROE;ROIC;ROIC;Vinsttillväxt;Vinsttillväxt;FCF;FCF;Börsvärde;Antal Aktier;Vinst/Aktie;Trad.volym;Volatilitet
;Land;Lista;Sektor;Bransch;Ticker;Instrument;Rapport;Utveck.  5 år;Utveck.  3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Senaste;Snitt 100d;Snitt 3 år;Snitt 5 år;Snitt 5 år;Snitt 3 år;År. tillv. 5 år;År. tillv. 3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Volym 50d;St.avk. 100d
Admiral Capital;Denmark;Small Cap;Finans & Fastighet;Fastigheter;ADMCAP B;Aktier;Q2-2018;;0.5686275;;;11.78203;1.761865;0.7431026;145.2646;45262.33;0.1152434;;;0.01400093;;-0.2330311;;43.28167;210.3456;131.466;0.1358;0.000540433;21.03475
ADONnews;Sverige;Aktietorget;Sällanköpsvaror;Media;ADON;Aktier;Q4-2017;;-0.8229665;;;-1.594828;2.644379;-1.762197;14.44845;409628.3;-21.76396;-13.16763;-7.153397;-10.07311;;;-10.773;-5.720666;15.05445;406.877;-0.0232;0.000899916;101.3556
Advanced Stabilized Tech;Sverige;NGM;Informationsteknik;Kommunikation;ASTG MTF B;Aktier;Q4-2017;;-0.7363636;;;-1.72619;1.953984;3.984594;39.02143;3422705;-4.323529;;;-3.656434;;;;-18.13333;20.32143;700.739;-0.0168;0.007173299;78.25838
Advenica;Sverige;First North;Informationsteknik;Kommunikation;ADVE;Aktier;Q1-2018;;-0.2361963;;;-5.066949;3.747438;2.556154;185.1046;15024.93;-0.3406828;-0.2301802;-0.2906053;-0.4222303;;;-19.7868;-14.711;196.5606;15.788;-2.4571;0.000845188;52.8277
Aega;Norge;Oslo Axess;Finans & Fastighet;Investmentbolag;AEGA;Aktier;Q4-2017;;;;0.06893333;-1.567426;1.267002;0.618178;151.6136;23498.79;-0.2653662;;;-0.134034;;;;-15.6976;39.27439;43.882;-0.571;0.000273884;88.92637
Aerowash;Sverige;Aktietorget;Industri;Tjänster & Leverans;AERW B;Aktier;Q1-2018;;;;;-7.283633;1.218934;3.40613;33.266;27747.84;-0.2311582;;;-0.1940614;;;;-11.277;28.339;3.334;-1.167;0.009100768;154.2771
AF Gruppen;Norge;OB Match;Industri;Byggnation;AFG;Aktier;Q1-2018;1.188062;0.1403509;8.2;8.333333;19.09294;0.8532616;7.012627;11969.93;15557.47;0.3222638;0.3289243;0.3315128;0.3592346;0.05496139;-0.03259583;843;962.3333;12734.93;97.961;6.8088;0.000199887;27.34117
Afarak;Finland;Small Cap;Material;Gruv & Metall;AFAGR;Aktier;Q4-2017;1.473752;1.439394;0.018;0.02;40.58823;1.25074;1.482512;269.0466;172432.4;0.02757368;0.01521257;0.01182316;0.02187893;;0.2933858;3.1834;5.658333;254.0966;263.04;0.0238;0.000463539;34.87892
Africa Oil;Sverige;Mid Cap;Energi;Olja & Gas;AOI;Aktier;Q1-2018;-0.8148847;-0.5078038;;;-116.3373;;0.4724475;760.7331;1124203;0.003150882;-0.04252357;-0.04807935;0.006712499;;;-718.4573;673.3703;4064.793;460.339;-0.0759;0.003000408;44.22657
African Petroleum;Norge;Oslo Axess;Energi;Olja & Gas;APCL;Aktier;Q2-2017;;-0.6435294;;;-0.8749639;63.1013;0.5093693;3.406332;2194860;-0.4474588;;;-0.6436301;;;;-93.20056;129.2125;106.611;-1.3852;0.03470735;115.6363
Ages Industri;Sverige;First North;Industri;Produktion;AGES B;Aktier;Q1-2018;;-0.2779783;3;2.333333;23.83677;0.6382514;1.503863;1075.8;797.91;0.07331459;0.1034157;0.07259749;0.05238781;-0.1026939;-0.2017772;-25.2;-53.66667;700.8;7.008;4.1952;0.000120223;36.84339
AGF B;Denmark;Small Cap;Sällanköpsvaror;Hotell, restaurang & nöje;AGF B;Aktier;Q2-2018;-0.4757115;-0.2686567;;;-7.27003;0.6643055;2.256173;73.75922;416535.1;-0.2315702;;;-0.3451686;;;;0.009333293;76.46622;312.107;-0.0337;0.001373215;49.96144
Agillic;Denmark;First North;Informationsteknik;IT-Tjänster;AGILC;Aktier;Q4-2017;;;;;;;;0.0375;;;;;;;;;;0.0375;0.001;;;
Agromino;Sverige;Small Cap;Dagligvaror;Livsmedel;AGRO;Aktier;Q4-2017;-0.9665;-0.8414201;;;7.130314;0.7493885;0.7978033;332.8776;27351.73;-32.662;-19.67369;-0.429373;-0.6264027;-0.2937755;;37.42032;70.80737;233.4414;17.421;1.8793;0.000805527;40.30407
AHA World;Sverige;Aktietorget;Sällanköpsvaror;Betting & Spel;AHA;Aktier;Q1-2018;;-0.5730769;;;-3.252747;0.7144482;2.013579;14.21626;46884.84;-0.9806008;-1.634418;-7.471294;-2.563351;;;-9.713599;-13.03467;15.60926;17.578;-0.273;0.002381393;98.98335
Ahlsell;Sverige;Large Cap;Industri;Tjänster & Leverans;AHSL;Aktier;Q1-2018;;;0.73;1.216667;16.67692;0.8422399;2.478261;31092.57;932592.1;0.116494;0.04320771;0.03519487;0.06077032;;1.503213;895.68;844.6667;23647.57;436.302;3.25;0.002394449;23.70113
Ahlstrom-Munksjö;Sverige;Large Cap;Industri;Produktion;AM1S;Aktier;Q1-2018;;0.7302325;3.8928;4.783167;21.04998;0.6459692;1.559949;20197.75;4828.65;0.07868806;0.06176147;0.03785415;0.05022438;;0.2476328;575.3754;839.8957;16093.5;96.138;7.9525;3.55E-05;37.12465
Ahlstrom-Munksjö Oyj;Finland;Large Cap;Industri;Produktion;AM1;Aktier;Q1-2018;;0.5783365;0.408;0.4966667;20.32379;0.621572;1.578602;1964.372;38692.17;0.07987686;0.06247474;0.03832336;0.05100638;;0.2213988;60.26;87.63333;1568.972;96.138;0.803;0.000300009;27.58063
Ahola Transport;Finland;First North;Industri;Handel & Distribution;AHOLA;Aktier;Q1-2018;;;0.0112;0.014;60.35714;0.4630929;1.584509;13.16613;2078.02;0.01924302;0.07219026;0.04574936;0.0224103;;-0.4168578;0.6634;0.5596666;12.52713;14.825;0.014;8.50E-05;77.94006
AIK Fotboll;Sverige;NGM;Sällanköpsvaror;Hotell, restaurang & nöje;AIK B;Aktier;Q1-2018;0.2606061;0.2606061;;;-2.572665;0.3333415;0.7023381;-7.91588;11537.55;0.1446933;0.1658511;0.08268564;-0.04271938;;;6.8186;10.48867;45.42512;21.839;-0.8085;0.000586518;66.50932
Aino Health;Sverige;First North;Hälsovård;Sjukvård;AINO;Aktier;Q4-2017;;;;;-0.9790043;1.605483;1.417097;21.83328;9082.68;;;;;;;;;31.12228;5.422;-5.8631;0.002000384;94.0878
Akastor;Norge;OB Match;Finans & Fastighet;Investmentbolag;AKA;Aktier;Q1-2018;-0.05174661;0.3552239;;;-18.50795;1.102558;0.9841907;7470.922;191302.9;-0.09797297;-0.07590284;-0.06397473;-0.07196365;;;1494.8;1102;4922.922;271.086;-0.9812;0.000711166;30.12821
Akelius R. Pref;Sverige;First North;Finans & Fastighet;Fastigheter;AKEL PREF;Pref;Q4-2017;;0.07053291;;20;;;;341.5;24002.99;;;;;;;;;341.5;1;;;7.151856
Aker;Norge;OB Match;Finans & Fastighet;Investmentbolag;AKER;Aktier;Q4-2017;2.169811;2.769231;13.4;14.66667;28.79614;1.049837;2.065032;63659.7;96028.15;0.1120105;0.07228354;0.05695355;0.09009879;;;-4747.8;-3478.333;43683.7;74.292;20.4194;0.001312971;24.82407
Aker BP;Norge;OBX;Energi;Olja & Gas;AKERBP;Aktier;Q1-2018;2.601754;4.982161;2.63336;3.853067;37.16108;4.867641;4.367588;133065.3;882302.6;0.07458517;-0.2253601;-0.01070953;0.02528763;;;-6134.974;-4134.694;108682.1;360.113;8.1214;0.002885312;32.53745
Aker Solutions;Norge;OBX;Energi;Olja & Gas;AKSO;Aktier;Q1-2018;;0.1991209;0.29;;56.86888;0.6518256;2.175714;15317.72;1084446;0.02612024;0.07066706;0.06090049;0.02258522;-0.2697658;-0.1199928;426.4;73.33334;14842.72;272.044;0.9594;0.003560032;34.05762
Aktia Bank Abp;Finland;Mid Cap;Finans & Fastighet;Bank;AKTIA;Aktier;Q1-2018;0.1991404;-0.294861;0.572;0.58;14.11467;2.769731;0.9745263;749.312;64065.37;0.07172764;0.07513916;0.004919303;0.004698524;-0.05423994;-0.08770656;-50.4024;-54.86667;577.2119;68.962;0.593;0.001301052;19.38421
AKVA Group;Norge;OB Match;Dagligvaror;Livsmedel;AKVA;Aktier;Q1-2018;6.258537;2.036735;1;1;18.47437;0.8859051;3.913467;2229.336;10132.51;0.1565883;0.1487813;0.09875397;0.08938695;1.050122;0.2233383;3.166199;4.923332;1919.966;25.806;4.0272;0.000507218;21.08298
Alcadon Group;Sverige;First North;Informationsteknik;Kommunikation;ALCA;Aktier;Q1-2018;;;;0.3333333;15.88747;1.381614;5.262208;929.9026;27189.85;0.3469626;;;0.1738162;;;;22.13333;830.9026;16.421;3.1849;0.001176489;27.1015
Alelion Energy;Sverige;First North;Industri;Produktion;ALELIO;Aktier;Q1-2018;;;;;-33.67302;4.207254;6.952615;712.4446;83861.29;-0.22564;-1.214229;-1.127127;-0.3850743;;;-42.847;-47.76767;746.7456;49.128;-0.4514;0.002052566;63.36892
Alfa Laval;Sverige;Large Cap;Industri;Produktion;ALFA;Aktier;Q1-2018;0.5465195;0.3946551;4.2;4.25;28.97989;2.61178;4.2156;102086.9;1368578;0.1342681;0.1564889;0.08658788;0.08092224;0.01409298;-0.05420152;1366.6;3846.667;94125.93;419.456;7.7433;0.003135714;23.48495
Alimak;Sverige;Mid Cap;Industri;Tjänster & Leverans;ALIG;Aktier;Q1-2018;;;1.72;2.2;25.13498;1.765656;2.306683;8305.852;107841.2;0.09131851;0.07870976;0.0569333;0.06976066;0.243757;0.2031435;10.96001;-114.8333;7387.151;54.158;5.4267;0.001994255;28.61101
ALK-Abello;Denmark;Large Cap;Hälsovård;Läkemedel;ALK B;Aktier;Q1-2018;1.600742;0.3068323;;1.666667;-78.34318;3.708547;3.241453;10789.66;20100.84;0.001504536;;;0.000525971;;;;-386;10654.66;10.128;-13.4281;0.002003292;39.36753
Allgon;Sverige;First North;Informationsteknik;Kommunikation;ALLG B;Aktier;Q1-2018;-0.1505883;-0.2707071;;;-62.45675;0.7803477;1.264049;174.7155;17346.46;-0.09670199;0.05424491;0.2810158;-0.079354;;;-4.406801;-20.952;152.3925;21.107;-0.1156;0.000828264;57.02378
