"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  5 år";"Snitt 5 år";"Senaste";"Senaste";"Senaste";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"År. tillv. 5 år";"Senaste"
"Admiral Capital";"Denmark";"Small Cap";"Finans & Fastighet";"Fastigheter";"ADMCAP B";"Aktier";"Q2-2018";"";"";11.78203;1.761865;0.7431026;145.2646;"";131.466;"";0.1358;"";"";210.3456
"ADONnews";"Sverige";"Aktietorget";"Sällanköpsvaror";"Media";"ADON";"Aktier";"Q4-2017";"";"";-1.594828;2.644379;-1.762197;14.44845;-7.153397;406.877;-13.16763;-0.0232;-10.773;"";15.05445
"Advanced Stabilized Tech";"Sverige";"NGM";"Informationsteknik";"Kommunikation";"ASTG MTF B";"Aktier";"Q4-2017";"";"";-1.72619;1.953984;3.984594;39.02143;"";700.739;"";-0.0168;"";"";20.32143
"Advenica";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ADVE";"Aktier";"Q1-2018";"";"";-5.066949;3.747438;2.556154;185.1046;-0.2906053;15.788;-0.2301802;-2.4571;-19.7868;"";196.5606
"Aega";"Norge";"Oslo Axess";"Finans & Fastighet";"Investmentbolag";"AEGA";"Aktier";"Q4-2017";"";"";-1.567426;1.267002;0.618178;151.6136;"";43.882;"";-0.571;"";"";39.27439
"Aerowash";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"AERW B";"Aktier";"Q1-2018";"";"";-7.283633;1.218934;3.40613;33.266;"";3.334;"";-1.167;"";"";28.339
"AF Gruppen";"Norge";"OB Match";"Industri";"Byggnation";"AFG";"Aktier";"Q1-2018";1.188062;8.2;19.09294;0.8532616;7.012627;11969.93;0.3315128;97.961;0.3289243;6.8088;843;0.05496139;12734.93
"Afarak";"Finland";"Small Cap";"Material";"Gruv & Metall";"AFAGR";"Aktier";"Q4-2017";1.473752;0.018;40.58823;1.25074;1.482512;269.0466;0.01182316;263.04;0.01521257;0.0238;3.1834;"";254.0966
"Africa Oil";"Sverige";"Mid Cap";"Energi";"Olja & Gas";"AOI";"Aktier";"Q1-2018";-0.8148847;"";-116.3373;"";0.4724475;760.7331;-0.04807935;460.339;-0.04252357;-0.0759;-718.4573;"";4064.793
"African Petroleum";"Norge";"Oslo Axess";"Energi";"Olja & Gas";"APCL";"Aktier";"Q2-2017";"";"";-0.8749639;63.1013;0.5093693;3.406332;"";106.611;"";-1.3852;"";"";129.2125
"Ages Industri";"Sverige";"First North";"Industri";"Produktion";"AGES B";"Aktier";"Q1-2018";"";3;23.83677;0.6382514;1.503863;1075.8;0.07259749;7.008;0.1034157;4.1952;-25.2;-0.1026939;700.8
"AGF B";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AGF B";"Aktier";"Q2-2018";-0.4757115;"";-7.27003;0.6643055;2.256173;73.75922;"";312.107;"";-0.0337;"";"";76.46622
"Agillic";"Denmark";"First North";"Informationsteknik";"IT-Tjänster";"AGILC";"Aktier";"Q4-2017";"";"";"";"";"";0.0375;"";0.001;"";"";"";"";0.0375
"Agromino";"Sverige";"Small Cap";"Dagligvaror";"Livsmedel";"AGRO";"Aktier";"Q4-2017";-0.9665;"";7.130314;0.7493885;0.7978033;332.8776;-0.429373;17.421;-19.67369;1.8793;37.42032;-0.2937755;233.4414
"AHA World";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"AHA";"Aktier";"Q1-2018";"";"";-3.252747;0.7144482;2.013579;14.21626;-7.471294;17.578;-1.634418;-0.273;-9.713599;"";15.60926
"Ahlsell";"Sverige";"Large Cap";"Industri";"Tjänster & Leverans";"AHSL";"Aktier";"Q1-2018";"";0.73;16.67692;0.8422399;2.478261;31092.57;0.03519487;436.302;0.04320771;3.25;895.68;"";23647.57
"Ahlstrom-Munksjö";"Sverige";"Large Cap";"Industri";"Produktion";"AM1S";"Aktier";"Q1-2018";"";3.8928;21.04998;0.6459692;1.559949;20197.75;0.03785415;96.138;0.06176147;7.9525;575.3754;"";16093.5
"Ahlstrom-Munksjö Oyj";"Finland";"Large Cap";"Industri";"Produktion";"AM1";"Aktier";"Q1-2018";"";0.408;20.32379;0.621572;1.578602;1964.372;0.03832336;96.138;0.06247474;0.803;60.26;"";1568.972
"Ahola Transport";"Finland";"First North";"Industri";"Handel & Distribution";"AHOLA";"Aktier";"Q1-2018";"";0.0112;60.35714;0.4630929;1.584509;13.16613;0.04574936;14.825;0.07219026;0.014;0.6634;"";12.52713
"AIK Fotboll";"Sverige";"NGM";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AIK B";"Aktier";"Q1-2018";0.2606061;"";-2.572665;0.3333415;0.7023381;-7.91588;0.08268564;21.839;0.1658511;-0.8085;6.8186;"";45.42512
"Aino Health";"Sverige";"First North";"Hälsovård";"Sjukvård";"AINO";"Aktier";"Q4-2017";"";"";-0.9790043;1.605483;1.417097;21.83328;"";5.422;"";-5.8631;"";"";31.12228
"Akastor";"Norge";"OB Match";"Finans & Fastighet";"Investmentbolag";"AKA";"Aktier";"Q1-2018";-0.05174661;"";-18.50795;1.102558;0.9841907;7470.922;-0.06397473;271.086;-0.07590284;-0.9812;1494.8;"";4922.922
"Akelius R. Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AKEL PREF";"Pref";"Q4-2017";"";"";"";"";"";341.5;"";1;"";"";"";"";341.5
"Aker";"Norge";"OB Match";"Finans & Fastighet";"Investmentbolag";"AKER";"Aktier";"Q4-2017";2.169811;13.4;28.79614;1.049837;2.065032;63659.7;0.05695355;74.292;0.07228354;20.4194;-4747.8;"";43683.7
"Aker BP";"Norge";"OBX";"Energi";"Olja & Gas";"AKERBP";"Aktier";"Q1-2018";2.601754;2.63336;37.16108;4.867641;4.367588;133065.3;-0.01070953;360.113;-0.2253601;8.1214;-6134.974;"";108682.1
"Aker Solutions";"Norge";"OBX";"Energi";"Olja & Gas";"AKSO";"Aktier";"Q1-2018";"";0.29;56.86888;0.6518256;2.175714;15317.72;0.06090049;272.044;0.07066706;0.9594;426.4;-0.2697658;14842.72
"Aktia Bank Abp";"Finland";"Mid Cap";"Finans & Fastighet";"Bank";"AKTIA";"Aktier";"Q1-2018";0.1991404;0.572;14.11467;2.769731;0.9745263;749.312;0.004919303;68.962;0.07513916;0.593;-50.4024;-0.05423994;577.2119
"AKVA Group";"Norge";"OB Match";"Dagligvaror";"Livsmedel";"AKVA";"Aktier";"Q1-2018";6.258537;1;18.47437;0.8859051;3.913467;2229.336;0.09875397;25.806;0.1487813;4.0272;3.166199;1.050122;1919.966
"Alcadon Group";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ALCA";"Aktier";"Q1-2018";"";"";15.88747;1.381614;5.262208;929.9026;"";16.421;"";3.1849;"";"";830.9026
"Alelion Energy";"Sverige";"First North";"Industri";"Produktion";"ALELIO";"Aktier";"Q1-2018";"";"";-33.67302;4.207254;6.952615;712.4446;-1.127127;49.128;-1.214229;-0.4514;-42.847;"";746.7456
"Alfa Laval";"Sverige";"Large Cap";"Industri";"Produktion";"ALFA";"Aktier";"Q1-2018";0.5465195;4.2;28.97989;2.61178;4.2156;102086.9;0.08658788;419.456;0.1564889;7.7433;1366.6;0.01409298;94125.93
"Alimak";"Sverige";"Mid Cap";"Industri";"Tjänster & Leverans";"ALIG";"Aktier";"Q1-2018";"";1.72;25.13498;1.765656;2.306683;8305.852;0.0569333;54.158;0.07870976;5.4267;10.96001;0.243757;7387.151
"ALK-Abello";"Denmark";"Large Cap";"Hälsovård";"Läkemedel";"ALK B";"Aktier";"Q1-2018";1.600742;"";-78.34318;3.708547;3.241453;10789.66;"";10.128;"";-13.4281;"";"";10654.66
"Allgon";"Sverige";"First North";"Informationsteknik";"Kommunikation";"ALLG B";"Aktier";"Q1-2018";-0.1505883;"";-62.45675;0.7803477;1.264049;174.7155;0.2810158;21.107;0.05424491;-0.1156;-4.406801;"";152.3925
"Alligator Bioscience";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"ATORX";"Aktier";"Q1-2018";"";"";-26.42226;40.69721;3.966578;1809.732;"";71.388;"";-1.2111;"";"";2284.416
"ALM Equity Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"ALM PREF";"Pref";"Q4-2017";-0.1906615;8.4;"";"";"";104;"";1;"";"";"";"";104
"ALM Equtiy";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"ALM";"Aktier";"Q1-2018";3.669603;1.2;9.910015;0.8721678;1.000228;3665.698;0.1474681;10.155;0.143537;21.3925;-459.1832;0.3419848;2152.86
"Alm. Brand";"Denmark";"Large Cap";"Finans & Fastighet";"Bank";"ALMB";"Aktier";"Q1-2018";2.385417;"";13.89126;1.356428;2.159795;11181.54;"";165.839;"";4.6792;"";"";10779.54
"Alma Media";"Finland";"Mid Cap";"Sällanköpsvaror";"Media";"ALMA";"Aktier";"Q1-2018";1.305195;0.176;17.51357;1.568148;4.605664;634.8193;0.1090864;82.383;0.1519806;0.4054;29.48;0.1532864;584.9193
"Alphahelix";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"ALPH";"Aktier";"Q1-2018";1.709091;"";-17.63314;2.34401;14.96098;46.92481;-0.1926079;52.832;-0.1943719;-0.0507;0.814;"";47.23181
"Alteco Medical";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"ALTE";"Aktier";"Q1-2018";"";"";-3.183107;9.799089;2.406533;31.10493;-1.805705;45.493;-0.7982714;-0.3173;-10.0556;"";45.94793
"Altia";"Finland";"Mid Cap";"Dagligvaror";"Livsmedel";"ALTIA";"Aktier";"Q4-2017";"";"";17.43038;0.8683243;2.3314;366.6355;"";36.14;"";0.5063;"";"";318.9355
"Alzinova";"Sverige";"Aktietorget";"Hälsovård";"Bioteknik";"ALZ";"Aktier";"Q1-2018";"";"";-38.6143;11.46162;3.359558;81.686;-0.4443522;5.478;-0.1467739;-0.4532;-6.0202;"";95.865
"Amasten";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AMAST";"Aktier";"Q1-2018";-0.1204546;"";12.2005;2.088449;0.6160625;2429.242;0.03241767;149.459;0.08269843;0.3172;-233.5376;"";578.4063
"Amasten Pref";"Sverige";"First North";"Finans & Fastighet";"Fastigheter";"AMAST PREF";"Pref";"Q4-2017";"";20;"";"";"";300;"";1;"";"";"";"";300
"Amazon";"USA";"NYSE & Nasdaq
";"Informationsteknik";"Programvara & Internet";"AMZN";"Aktier";"Q1-2018";5.151716;"";197.8971;4.033834;24.76918;778989.6;0.05155619;484;0.07593212;8.1363;-814.8;0.6847193;779312.6
"Ambea";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"AMBEA";"Aktier";"Q1-2018";"";0.4;17.63951;0.7510471;1.754215;6508.722;0.06734932;67.617;0.08476666;3.7416;-199.8;"";4462.722
